Date,City,Store_Format,Category,Total_Units,Avg_Selling_Price,Stock_On_Hand,Reorder_Level,Is_Holiday,Day_of_Week,Month,Is_Payday,Units_Lag_7d,Units_Lag_14d
2024-01-20,Ahmedabad,Express,Beverages,7,77.24188090518717,346.5,36,0,5,1,0,3.0,6.0
2024-01-21,Ahmedabad,Super,Beverages,9,189.2527144504546,160.66666666666666,78,0,6,1,0,16.0,8.0
2024-01-22,Ahmedabad,Express,Beverages,6,202.68656223431736,231.5,72,0,0,1,0,2.0,8.0
2024-01-22,Ahmedabad,Hyper,Beverages,8,134.746631812243,325.5,50,0,0,1,0,9.0,3.0
2024-01-22,Ahmedabad,Super,Beverages,5,145.3906475482495,149.0,59,0,0,1,0,1.0,3.0
2024-01-23,Ahmedabad,Express,Beverages,4,85.45487426857588,111.0,64,0,1,1,0,5.0,1.0
2024-01-24,Ahmedabad,Express,Beverages,2,82.38834333371074,310.0,77,0,2,1,0,11.0,4.0
2024-01-24,Ahmedabad,Hyper,Beverages,2,195.8769029698819,68.0,26,0,2,1,0,7.0,3.0
2024-01-25,Ahmedabad,Express,Beverages,5,126.56000332718162,159.0,54,0,3,1,0,9.0,16.0
2024-01-25,Ahmedabad,Hyper,Beverages,8,135.90686308095832,434.0,69,0,3,1,0,6.0,2.0
2024-01-26,Ahmedabad,Hyper,Beverages,12,108.08782194607748,295.3333333333333,74,1,4,1,0,8.0,9.0
2024-01-26,Ahmedabad,Super,Beverages,5,148.1632197682364,104.0,70,1,4,1,0,5.0,1.0
2024-01-27,Ahmedabad,Express,Beverages,4,154.4361919527379,52.0,64,0,5,1,0,4.0,5.0
2024-01-27,Ahmedabad,Super,Beverages,10,143.0040567599363,232.33333333333334,71,0,5,1,0,2.0,11.0
2024-01-28,Ahmedabad,Express,Beverages,7,119.97252496046148,258.3333333333333,76,0,6,1,0,2.0,7.0
2024-01-28,Ahmedabad,Hyper,Beverages,4,15.496507215110393,140.0,60,0,6,1,0,5.0,9.0
2024-01-28,Ahmedabad,Super,Beverages,5,30.46120726600629,327.0,44,0,6,1,0,8.0,6.0
2024-01-29,Ahmedabad,Express,Beverages,5,175.36621894616266,266.0,68,0,0,1,0,12.0,8.0
2024-01-29,Ahmedabad,Hyper,Beverages,5,163.34248916875686,192.0,52,0,0,1,0,5.0,5.0
2024-01-30,Ahmedabad,Express,Beverages,4,227.61616079100938,323.0,76,0,1,1,1,4.0,4.0
2024-01-30,Ahmedabad,Hyper,Beverages,9,187.23076233635783,368.5,76,0,1,1,1,10.0,2.0
2024-01-30,Ahmedabad,Super,Beverages,17,129.80854720179929,361.0,63,0,1,1,1,7.0,2.0
2024-01-31,Ahmedabad,Super,Beverages,2,42.71879655474717,96.0,59,0,2,1,1,4.0,5.0
2024-02-01,Ahmedabad,Express,Beverages,2,60.79547175136174,192.0,27,0,3,2,1,5.0,8.0
2024-02-01,Ahmedabad,Hyper,Beverages,10,199.87332914576996,385.5,64,0,3,2,1,5.0,12.0
2024-02-01,Ahmedabad,Super,Beverages,5,105.935993555359,202.0,65,0,3,2,1,5.0,5.0
2024-02-02,Ahmedabad,Express,Beverages,2,65.68467651807786,243.0,65,0,4,2,0,4.0,4.0
2024-02-02,Ahmedabad,Hyper,Beverages,1,160.74532735724966,297.0,23,0,4,2,0,9.0,10.0
2024-02-02,Ahmedabad,Super,Beverages,2,166.44986634648745,347.0,59,0,4,2,0,17.0,7.0
2024-02-03,Ahmedabad,Hyper,Beverages,1,245.1956696684805,400.0,79,0,5,2,0,2.0,4.0
2024-02-03,Ahmedabad,Super,Beverages,14,114.3507282408852,291.8,66,0,5,2,0,2.0,5.0
2024-02-04,Ahmedabad,Express,Beverages,8,209.51633898942035,248.0,52,0,6,2,0,10.0,5.0
2024-02-04,Ahmedabad,Hyper,Beverages,5,93.04097750821178,377.0,38,0,6,2,0,5.0,5.0
2024-02-04,Ahmedabad,Super,Beverages,3,274.96031243662594,167.0,70,0,6,2,0,2.0,4.0
2024-02-05,Ahmedabad,Hyper,Beverages,7,147.48868988649866,206.5,69,0,0,2,0,1.0,9.0
2024-02-05,Ahmedabad,Super,Beverages,10,68.86779259218197,269.0,57,0,0,2,0,2.0,17.0
2024-02-06,Ahmedabad,Express,Beverages,2,122.54672657805148,473.0,27,0,1,2,0,1.0,2.0
2024-02-06,Ahmedabad,Super,Beverages,5,115.80157798139852,320.0,63,0,1,2,0,14.0,2.0
2024-02-07,Ahmedabad,Express,Beverages,7,15.823094893398121,212.5,71,0,2,2,0,8.0,10.0
2024-02-07,Ahmedabad,Hyper,Beverages,5,171.0841856156228,272.0,55,0,2,2,0,5.0,5.0
2024-02-07,Ahmedabad,Super,Beverages,8,151.02916444821514,316.75,75,0,2,2,0,3.0,2.0
2024-02-09,Ahmedabad,Express,Beverages,3,148.50819281214655,258.0,21,0,4,2,0,7.0,1.0
2024-02-09,Ahmedabad,Hyper,Beverages,10,150.81798043833908,366.5,34,0,4,2,0,10.0,2.0
2024-02-10,Ahmedabad,Express,Beverages,6,198.6013135772199,181.0,37,0,5,2,0,2.0,1.0
2024-02-10,Ahmedabad,Hyper,Beverages,9,195.10970318108812,358.5,47,0,5,2,0,5.0,14.0
2024-02-10,Ahmedabad,Super,Beverages,5,190.9835999696801,91.0,61,0,5,2,0,7.0,8.0
2024-02-11,Ahmedabad,Express,Beverages,11,156.91515260852358,286.6666666666667,63,0,6,2,0,5.0,5.0
2024-02-11,Ahmedabad,Super,Beverages,2,254.38354666880687,433.0,66,0,6,2,0,8.0,3.0
2024-02-12,Ahmedabad,Express,Beverages,9,103.2044375599976,315.0,61,0,0,2,0,3.0,7.0
2024-02-12,Ahmedabad,Hyper,Beverages,8,126.80305122295586,276.6666666666667,62,0,0,2,0,10.0,10.0
2024-02-13,Ahmedabad,Express,Beverages,9,35.63676457867008,244.0,36,0,1,2,0,6.0,2.0
2024-02-13,Ahmedabad,Hyper,Beverages,6,94.07394021306888,461.0,73,0,1,2,0,9.0,5.0
2024-02-13,Ahmedabad,Super,Beverages,5,168.92168669168763,281.0,46,0,1,2,0,5.0,7.0
2024-02-14,Ahmedabad,Express,Beverages,2,220.40335163705996,427.0,74,0,2,2,0,11.0,5.0
2024-02-14,Ahmedabad,Hyper,Beverages,4,56.672665506564336,253.0,75,0,2,2,0,2.0,8.0
2024-02-15,Ahmedabad,Express,Beverages,7,153.52710041888358,380.6666666666667,78,0,3,2,0,9.0,3.0
2024-02-15,Ahmedabad,Hyper,Beverages,8,153.03886757169045,219.0,67,0,3,2,0,8.0,10.0
2024-02-16,Ahmedabad,Express,Beverages,3,62.42284889088082,326.0,69,0,4,2,0,9.0,6.0
2024-02-16,Ahmedabad,Hyper,Beverages,2,71.57936499118219,296.0,56,0,4,2,0,6.0,9.0
2024-02-16,Ahmedabad,Super,Beverages,11,102.33077737123263,242.66666666666666,70,0,4,2,0,5.0,5.0
2024-02-17,Ahmedabad,Super,Beverages,2,83.26622154022824,173.0,28,0,5,2,0,2.0,11.0
2024-02-18,Ahmedabad,Express,Beverages,7,81.5236788438921,423.5,60,0,6,2,0,4.0,2.0
2024-02-18,Ahmedabad,Super,Beverages,4,159.0772776839153,316.0,56,0,6,2,0,7.0,9.0
2024-02-19,Ahmedabad,Hyper,Beverages,4,212.9633478608036,383.0,21,0,0,2,0,8.0,8.0
2024-02-20,Ahmedabad,Express,Beverages,4,123.515642783744,333.6666666666667,72,0,1,2,0,3.0,9.0
2024-02-20,Ahmedabad,Super,Beverages,9,101.95781230511808,344.3333333333333,58,0,1,2,0,2.0,6.0
2024-02-21,Ahmedabad,Express,Beverages,1,143.39026754577958,271.0,67,0,2,2,0,11.0,5.0
2024-02-22,Ahmedabad,Hyper,Beverages,7,100.87344148776174,448.5,63,0,3,2,0,2.0,2.0
2024-02-22,Ahmedabad,Super,Beverages,1,186.63522759781185,425.0,66,0,3,2,0,7.0,4.0
2024-02-23,Ahmedabad,Express,Beverages,4,97.152033671239,311.0,47,0,4,2,0,4.0,7.0
2024-02-23,Ahmedabad,Hyper,Beverages,1,28.946889378748303,333.0,74,0,4,2,0,4.0,8.0
2024-02-24,Ahmedabad,Express,Beverages,2,110.5516479801994,372.0,72,0,5,2,0,4.0,3.0
2024-02-24,Ahmedabad,Hyper,Beverages,9,148.71491034227827,448.0,78,0,5,2,0,9.0,2.0
2024-02-25,Ahmedabad,Hyper,Beverages,4,59.79082211136326,173.0,67,0,6,2,0,1.0,11.0
2024-02-25,Ahmedabad,Super,Beverages,7,112.41902760487899,279.6666666666667,67,0,6,2,0,7.0,2.0
2024-02-26,Ahmedabad,Express,Beverages,2,180.51953847269576,158.0,55,0,0,2,0,1.0,7.0
2024-02-26,Ahmedabad,Hyper,Beverages,3,211.36834622363892,208.0,66,0,0,2,0,4.0,4.0
2024-02-26,Ahmedabad,Super,Beverages,4,108.10313949045975,58.0,68,0,0,2,0,1.0,4.0
2024-02-27,Ahmedabad,Hyper,Beverages,7,213.9300850705668,379.0,37,0,1,2,0,2.0,4.0
2024-02-27,Ahmedabad,Super,Beverages,4,153.88087506314568,86.5,63,0,1,2,0,9.0,9.0
2024-02-28,Ahmedabad,Hyper,Beverages,2,110.1177370940346,409.0,22,0,2,2,0,4.0,1.0
2024-02-28,Ahmedabad,Super,Beverages,10,110.58301093354135,334.6666666666667,49,0,2,2,0,7.0,7.0
2024-02-29,Ahmedabad,Express,Beverages,2,126.4010844722585,469.0,25,0,3,2,0,2.0,1.0
2024-02-29,Ahmedabad,Super,Beverages,1,70.7562863445999,372.0,36,0,3,2,0,3.0,4.0
2024-03-01,Ahmedabad,Hyper,Beverages,5,152.06126807230407,263.0,70,0,4,3,1,4.0,1.0
2024-03-02,Ahmedabad,Super,Beverages,3,201.34894992295244,330.0,54,0,5,3,0,7.0,2.0
2024-03-03,Ahmedabad,Express,Beverages,6,81.352757528546,168.0,76,0,6,3,0,4.0,9.0
2024-03-03,Ahmedabad,Hyper,Beverages,12,79.22534908581032,256.0,49,0,6,3,0,2.0,4.0
2024-03-03,Ahmedabad,Super,Beverages,11,188.4506252530601,191.33333333333334,79,0,6,3,0,10.0,7.0
2024-03-04,Ahmedabad,Express,Beverages,5,188.41714074291443,471.0,22,0,0,3,0,2.0,2.0
2024-03-04,Ahmedabad,Hyper,Beverages,1,144.64868918034998,330.0,32,0,0,3,0,1.0,3.0
2024-03-04,Ahmedabad,Super,Beverages,4,128.47399551534093,302.5,61,0,0,3,0,5.0,4.0
2024-03-05,Ahmedabad,Express,Beverages,2,192.82193626404896,201.5,76,0,1,3,0,3.0,7.0
2024-03-05,Ahmedabad,Super,Beverages,8,109.47942115856273,192.5,64,0,1,3,0,6.0,4.0
2024-03-06,Ahmedabad,Express,Beverages,2,89.96869887432362,287.0,66,0,2,3,0,12.0,2.0
2024-03-06,Ahmedabad,Hyper,Beverages,1,225.1543306868961,464.0,67,0,2,3,0,11.0,10.0
2024-03-07,Ahmedabad,Express,Beverages,9,192.10168165107646,316.3333333333333,79,0,3,3,0,5.0,2.0
2024-03-07,Ahmedabad,Hyper,Beverages,8,157.33089398948866,436.0,58,0,3,3,0,1.0,1.0
2024-03-07,Ahmedabad,Super,Beverages,5,176.60647025521766,235.5,39,0,3,3,0,4.0,5.0
2024-03-08,Ahmedabad,Express,Beverages,4,134.88217332073452,383.0,54,0,4,3,0,2.0,3.0
2024-03-08,Ahmedabad,Hyper,Beverages,9,115.93451336398716,427.0,78,0,4,3,0,8.0,6.0
2024-03-09,Ahmedabad,Express,Beverages,3,21.174512344894477,487.0,33,0,5,3,0,2.0,12.0
2024-03-09,Ahmedabad,Hyper,Beverages,11,69.81785641985326,180.0,63,0,5,3,0,1.0,11.0
2024-03-09,Ahmedabad,Super,Beverages,12,111.81608125347064,369.0,72,0,5,3,0,9.0,5.0
2024-03-10,Ahmedabad,Hyper,Beverages,8,92.60259213636692,269.6666666666667,73,0,6,3,0,8.0,1.0
2024-03-10,Ahmedabad,Super,Beverages,2,105.08968242955126,263.0,72,0,6,3,0,5.0,4.0
2024-03-11,Ahmedabad,Express,Beverages,5,118.13073449260804,105.0,68,0,0,3,0,4.0,2.0
2024-03-11,Ahmedabad,Hyper,Beverages,3,97.85005819889528,112.0,70,0,0,3,0,9.0,8.0
2024-03-11,Ahmedabad,Super,Beverages,11,142.4277510343164,200.25,75,0,0,3,0,3.0,2.0
2024-03-12,Ahmedabad,Express,Beverages,4,258.1970540830921,438.0,47,0,1,3,0,11.0,1.0
2024-03-12,Ahmedabad,Super,Beverages,6,106.5406635586304,215.0,65,0,1,3,0,12.0,9.0
2024-03-13,Ahmedabad,Hyper,Beverages,8,185.31484035477874,97.5,78,0,2,3,0,8.0,8.0
2024-03-14,Ahmedabad,Hyper,Beverages,11,179.07551637008976,262.75,73,0,3,3,0,2.0,5.0
2024-03-15,Ahmedabad,Super,Beverages,3,257.2658687441243,487.0,43,0,4,3,0,5.0,4.0
2024-03-16,Ahmedabad,Express,Beverages,5,247.563424534352,405.0,44,0,5,3,0,3.0,9.0
2024-03-17,Ahmedabad,Express,Beverages,5,213.13269747760603,320.0,44,0,6,3,0,11.0,3.0
2024-03-17,Ahmedabad,Super,Beverages,9,151.8149442630842,192.66666666666666,49,0,6,3,0,4.0,11.0
2024-03-18,Ahmedabad,Express,Beverages,4,203.7782900508282,78.0,44,0,0,3,0,6.0,12.0
2024-03-18,Ahmedabad,Super,Beverages,1,209.5060263638572,261.0,42,0,0,3,0,8.0,8.0
2024-03-19,Ahmedabad,Express,Beverages,1,60.741258530939234,409.0,74,0,1,3,0,11.0,2.0
2024-03-19,Ahmedabad,Hyper,Beverages,6,43.59448696811137,212.0,64,0,1,3,0,3.0,5.0
2024-03-19,Ahmedabad,Super,Beverages,4,249.2597212110892,384.0,21,0,1,3,0,5.0,3.0
2024-03-20,Ahmedabad,Express,Beverages,5,152.2609469460221,293.5,58,0,2,3,0,5.0,11.0
2024-03-20,Ahmedabad,Hyper,Beverages,4,210.45996822231947,417.0,78,0,2,3,0,9.0,4.0
2024-03-20,Ahmedabad,Super,Beverages,4,135.5939655926942,216.0,61,0,2,3,0,4.0,6.0
2024-03-21,Ahmedabad,Express,Beverages,10,144.4717535827315,315.6666666666667,66,0,3,3,0,1.0,8.0
2024-03-21,Ahmedabad,Hyper,Beverages,3,16.248845045435072,266.0,39,0,3,3,0,1.0,11.0
2024-03-21,Ahmedabad,Super,Beverages,5,112.66718924846478,497.0,61,0,3,3,0,6.0,3.0
2024-03-22,Ahmedabad,Express,Beverages,1,100.10281501563814,118.0,71,0,4,3,0,4.0,5.0
2024-03-22,Ahmedabad,Super,Beverages,5,148.6683971910395,254.0,77,0,4,3,0,5.0,5.0
2024-03-23,Ahmedabad,Express,Beverages,5,201.19801712436052,427.0,37,0,5,3,0,4.0,9.0
2024-03-23,Ahmedabad,Hyper,Beverages,2,76.34071277832975,128.0,69,0,5,3,0,4.0,4.0
2024-03-24,Ahmedabad,Express,Beverages,9,125.75890058479739,322.3333333333333,62,0,6,3,0,10.0,1.0
2024-03-24,Ahmedabad,Hyper,Beverages,10,155.613335308789,359.6666666666667,38,0,6,3,0,3.0,1.0
2024-03-24,Ahmedabad,Super,Beverages,10,84.38822774035576,394.0,67,0,6,3,0,5.0,6.0
2024-03-25,Ahmedabad,Hyper,Beverages,11,116.2493132424712,93.33333333333333,63,1,0,3,0,1.0,4.0
2024-03-25,Ahmedabad,Super,Beverages,12,57.22590967460443,194.33333333333334,58,1,0,3,0,5.0,5.0
2024-03-26,Ahmedabad,Express,Beverages,5,158.7100258346066,437.0,27,0,1,3,0,5.0,4.0
2024-03-26,Ahmedabad,Hyper,Beverages,2,62.37650461958818,83.0,33,0,1,3,0,2.0,4.0
2024-03-26,Ahmedabad,Super,Beverages,6,79.16491006463481,231.33333333333334,49,0,1,3,0,9.0,10.0
2024-03-27,Ahmedabad,Express,Beverages,4,158.40614728728778,248.33333333333334,63,0,2,3,0,10.0,3.0
2024-03-27,Ahmedabad,Hyper,Beverages,1,157.23743592510874,462.0,43,0,2,3,0,10.0,5.0
2024-03-28,Ahmedabad,Express,Beverages,1,32.41889468514273,437.0,54,0,3,3,0,11.0,1.0
2024-03-28,Ahmedabad,Hyper,Beverages,5,140.4277203742825,258.0,65,0,3,3,0,12.0,5.0
2024-03-28,Ahmedabad,Super,Beverages,3,133.20903662391243,264.5,63,0,3,3,0,5.0,5.0
2024-03-29,Ahmedabad,Express,Beverages,2,236.98887115963427,241.0,47,1,4,3,0,2.0,2.0
2024-03-29,Ahmedabad,Hyper,Beverages,8,109.44106436318924,285.3333333333333,65,1,4,3,0,6.0,9.0
2024-03-29,Ahmedabad,Super,Beverages,4,151.48856141415072,114.0,74,1,4,3,0,4.0,10.0
2024-03-30,Ahmedabad,Express,Beverages,6,159.07431674325932,407.0,58,0,5,3,1,1.0,10.0
2024-03-30,Ahmedabad,Hyper,Beverages,1,146.59422419195445,369.0,56,0,5,3,1,1.0,11.0
2024-03-30,Ahmedabad,Super,Beverages,5,181.04734103863584,232.0,36,0,5,3,1,5.0,12.0
2024-03-31,Ahmedabad,Super,Beverages,7,116.2734979588977,183.5,75,0,6,3,1,3.0,5.0
2024-04-01,Ahmedabad,Express,Beverages,7,220.1941507054393,308.0,55,0,0,4,1,2.0,2.0
2024-04-01,Ahmedabad,Super,Beverages,15,64.71306299634429,292.75,77,0,0,4,1,8.0,6.0
2024-04-02,Ahmedabad,Express,Beverages,7,132.9414265568874,246.0,72,0,1,4,0,4.0,4.0
2024-04-02,Ahmedabad,Super,Beverages,5,142.0159845259885,349.0,23,0,1,4,0,6.0,1.0
2024-04-03,Ahmedabad,Express,Beverages,5,77.90886611482605,262.0,50,0,2,4,0,1.0,1.0
2024-04-03,Ahmedabad,Hyper,Beverages,7,137.01155539690723,351.5,26,0,2,4,0,5.0,5.0
2024-04-03,Ahmedabad,Super,Beverages,10,166.6075059707967,297.5,52,0,2,4,0,7.0,3.0
2024-04-04,Ahmedabad,Hyper,Beverages,7,194.70255531776957,160.5,66,0,3,4,0,7.0,2.0
2024-04-04,Ahmedabad,Super,Beverages,5,210.28447304201484,494.0,23,0,3,4,0,15.0,8.0
2024-04-05,Ahmedabad,Express,Beverages,12,111.801269791168,280.6666666666667,63,0,4,4,0,7.0,4.0
2024-04-05,Ahmedabad,Hyper,Beverages,5,213.42265303518963,60.0,79,0,4,4,0,5.0,6.0
2024-04-05,Ahmedabad,Super,Beverages,5,103.54885765074154,416.0,70,0,4,4,0,5.0,1.0
2024-04-06,Ahmedabad,Express,Beverages,2,91.14343156211484,306.0,60,0,5,4,0,7.0,5.0
2024-04-06,Ahmedabad,Hyper,Beverages,6,182.52266669399262,276.0,78,0,5,4,0,10.0,7.0
2024-04-06,Ahmedabad,Super,Beverages,16,162.51248549934687,265.0,75,0,5,4,0,7.0,7.0
2024-04-07,Ahmedabad,Express,Beverages,3,151.29234498407916,379.0,26,0,6,4,0,5.0,15.0
2024-04-07,Ahmedabad,Hyper,Beverages,4,187.90811350585733,86.0,66,0,6,4,0,12.0,7.0
2024-04-07,Ahmedabad,Super,Beverages,9,190.06232163508932,265.0,43,0,6,4,0,5.0,5.0
2024-04-08,Ahmedabad,Express,Beverages,3,150.9777176150112,197.0,28,0,0,4,0,5.0,5.0
2024-04-08,Ahmedabad,Hyper,Beverages,10,147.86683245425837,301.25,78,0,0,4,0,2.0,7.0
2024-04-08,Ahmedabad,Super,Beverages,3,203.65592539857803,209.0,78,0,0,4,0,6.0,10.0
2024-04-09,Ahmedabad,Hyper,Beverages,3,133.89719837645953,174.5,50,0,1,4,0,16.0,7.0
2024-04-09,Ahmedabad,Super,Beverages,4,22.077031450319208,435.0,54,0,1,4,0,3.0,5.0
2024-04-10,Ahmedabad,Hyper,Beverages,6,20.06069171157468,446.5,60,0,2,4,0,4.0,12.0
2024-04-10,Ahmedabad,Super,Beverages,8,192.7197184035223,327.6666666666667,68,0,2,4,0,9.0,5.0
2024-04-11,Ahmedabad,Express,Beverages,6,40.45431412758393,308.5,72,1,3,4,0,3.0,5.0
2024-04-11,Ahmedabad,Hyper,Beverages,6,203.835416183909,239.5,61,1,3,4,0,10.0,2.0
2024-04-11,Ahmedabad,Super,Beverages,9,190.1488781252177,317.5,39,1,3,4,0,3.0,6.0
2024-04-12,Ahmedabad,Express,Beverages,4,142.997377161889,480.5,79,0,4,4,0,3.0,16.0
2024-04-12,Ahmedabad,Hyper,Beverages,5,116.1067486533625,281.0,45,0,4,4,0,4.0,3.0
2024-04-12,Ahmedabad,Super,Beverages,4,93.9239532699328,169.0,57,0,4,4,0,6.0,4.0
2024-04-13,Ahmedabad,Express,Beverages,1,63.41438932699232,230.0,40,0,5,4,0,8.0,9.0
2024-04-13,Ahmedabad,Hyper,Beverages,5,224.1644405605295,261.0,64,0,5,4,0,6.0,3.0
2024-04-13,Ahmedabad,Super,Beverages,13,121.01294551770418,198.0,76,0,5,4,0,6.0,10.0
2024-04-14,Ahmedabad,Express,Beverages,11,89.14198530368886,330.3333333333333,59,1,6,4,0,9.0,3.0
2024-04-14,Ahmedabad,Hyper,Beverages,10,201.61382236305235,118.0,73,1,6,4,0,4.0,3.0
2024-04-14,Ahmedabad,Super,Beverages,4,90.06672826211492,461.0,63,1,6,4,0,5.0,4.0
2024-04-15,Ahmedabad,Express,Beverages,4,136.40015347320048,291.0,58,0,0,4,0,4.0,6.0
2024-04-15,Ahmedabad,Hyper,Beverages,10,96.63873079212927,186.0,79,0,0,4,0,1.0,8.0
2024-04-15,Ahmedabad,Super,Beverages,5,40.77385936795138,418.5,58,0,0,4,0,5.0,6.0
2024-04-16,Ahmedabad,Express,Beverages,1,33.19023627941955,262.0,62,0,1,4,0,13.0,6.0
2024-04-16,Ahmedabad,Hyper,Beverages,11,166.27516506176798,276.3333333333333,63,0,1,4,0,11.0,9.0
2024-04-16,Ahmedabad,Super,Beverages,4,239.25863812595392,87.0,24,0,1,4,0,10.0,4.0
2024-04-17,Ahmedabad,Express,Beverages,5,269.62432722708,460.0,60,1,2,4,0,4.0,5.0
2024-04-17,Ahmedabad,Hyper,Beverages,9,189.79956202149555,246.0,53,1,2,4,0,4.0,4.0
2024-04-17,Ahmedabad,Super,Beverages,1,111.94716256814804,107.0,52,1,2,4,0,10.0,1.0
2024-04-18,Ahmedabad,Express,Beverages,5,25.01612643360339,180.0,20,0,3,4,0,5.0,5.0
2024-04-18,Ahmedabad,Hyper,Beverages,1,210.8574266758293,383.0,46,0,3,4,0,1.0,13.0
2024-04-18,Ahmedabad,Super,Beverages,4,21.71647066666372,376.0,20,0,3,4,0,11.0,11.0
2024-04-19,Ahmedabad,Hyper,Beverages,6,140.73268216891054,209.33333333333334,79,0,4,4,0,4.0,10.0
2024-04-20,Ahmedabad,Express,Beverages,5,204.19987647802054,149.0,31,0,5,4,0,5.0,4.0
2024-04-21,Ahmedabad,Express,Beverages,4,112.08257365135107,451.5,46,1,6,4,0,9.0,4.0
2024-04-21,Ahmedabad,Hyper,Beverages,4,240.0437580688049,181.5,76,1,6,4,0,1.0,10.0
2024-04-21,Ahmedabad,Super,Beverages,7,144.39379523122741,197.5,33,1,6,4,0,5.0,5.0
2024-04-22,Ahmedabad,Express,Beverages,8,172.55141239421783,346.0,68,0,0,4,0,1.0,1.0
2024-04-22,Ahmedabad,Hyper,Beverages,1,234.91027600765847,153.0,65,0,0,4,0,4.0,11.0
2024-04-22,Ahmedabad,Super,Beverages,11,159.54894263422622,262.3333333333333,72,0,0,4,0,6.0,4.0
2024-04-23,Ahmedabad,Express,Beverages,8,109.59247991323487,274.0,53,0,1,4,0,5.0,5.0
2024-04-23,Ahmedabad,Hyper,Beverages,6,148.42717726529065,320.5,53,0,1,4,0,4.0,9.0
2024-04-23,Ahmedabad,Super,Beverages,4,135.43620480582786,122.0,24,0,1,4,0,4.0,1.0
2024-04-24,Ahmedabad,Express,Beverages,5,16.11575182118699,107.0,29,0,2,4,0,7.0,5.0
2024-04-24,Ahmedabad,Hyper,Beverages,9,134.4564287417904,361.5,68,0,2,4,0,8.0,1.0
